name,qs,the,usnews,arwu,employer,labels,aliases,source,ranking_year,source_note
Massachusetts Institute of Technology,1,,,,,public-seed;qs-top300,MIT,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Imperial College London,2,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Stanford University,3,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
University of Oxford,4,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Harvard University,5,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
University of Cambridge,6,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
ETH Zurich,7,,,,,public-seed;qs-top300,Swiss Federal Institute of Technology,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
National University of Singapore,8,,,,,public-seed;qs-top300,NUS,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
University College London,9,,,,,public-seed;qs-top300,UCL,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
California Institute of Technology,10,,,,,public-seed;qs-top300,Caltech,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
